Energy (eV),n 10°,Dichroism 10°,Birefringence 10°,n 80°,Dichroism 80°,Birefringence 80°
255.3,"(np.complex128(0.001955717071735767+0.00026172017665077014j), np.complex128(0.0018756312013385801+0.0002617201766507701j))",5.421010862427522e-20,8.008587039718697e-05,"(np.complex128(0.0018756312013385801+0.0002617201766507701j), np.complex128(0.001955717071735767+0.00026172017665077014j))",-5.421010862427522e-20,-8.008587039718697e-05
255.4,"(np.complex128(0.001952467484865451+0.0002613737167316517j), np.complex128(0.001872026127009636+0.00026137371673165164j))",5.421010862427522e-20,8.044135785581497e-05,"(np.complex128(0.001872026127009636+0.00026137371673165164j), np.complex128(0.001952467484865451+0.0002613737167316517j))",-5.421010862427522e-20,-8.044135785581497e-05
255.5,"(np.complex128(0.001949217897995135+0.00026102725681253325j), np.complex128(0.001868421052680692+0.0002610272568125332j))",5.421010862427522e-20,8.079684531444296e-05,"(np.complex128(0.001868421052680692+0.0002610272568125332j), np.complex128(0.001949217897995135+0.00026102725681253325j))",-5.421010862427522e-20,-8.079684531444296e-05
255.6,"(np.complex128(0.001945968311124819+0.00026068079689341487j), np.complex128(0.001864815978351748+0.0002606807968934148j))",5.421010862427522e-20,8.115233277307095e-05,"(np.complex128(0.001864815978351748+0.0002606807968934148j), np.complex128(0.001945968311124819+0.00026068079689341487j))",-5.421010862427522e-20,-8.115233277307095e-05
255.7,"(np.complex128(0.0019426685630405927+0.00026034842308621947j), np.complex128(0.0018611004376670797+0.0002603484230862194j))",5.421010862427522e-20,8.156812537351297e-05,"(np.complex128(0.0018611004376670797+0.0002603484230862194j), np.complex128(0.0019426685630405927+0.00026034842308621947j))",-5.421010862427522e-20,-8.156812537351297e-05
255.8,"(np.complex128(0.0019393650393811257+0.0002600171095240076j), np.complex128(0.001857376582310475+0.0002600171095240076j))",0.0,8.198845707065071e-05,"(np.complex128(0.001857376582310475+0.0002600171095240076j), np.complex128(0.0019393650393811257+0.0002600171095240076j))",0.0,-8.198845707065071e-05
255.9,"(np.complex128(0.0019360615157216587+0.0002596857959617958j), np.complex128(0.00185365272695387+0.0002596857959617958j))",0.0,8.240878876778867e-05,"(np.complex128(0.00185365272695387+0.0002596857959617958j), np.complex128(0.0019360615157216587+0.0002596857959617958j))",0.0,-8.240878876778867e-05
256.0,"(np.complex128(0.0019327579920621917+0.0002593544823995839j), np.complex128(0.0018499288715972653+0.0002593544823995839j))",0.0,8.282912046492642e-05,"(np.complex128(0.0018499288715972653+0.0002593544823995839j), np.complex128(0.0019327579920621917+0.0002593544823995839j))",0.0,-8.282912046492642e-05
256.1,"(np.complex128(0.0019294544684027239+0.000259023168837372j), np.complex128(0.0018462050162406593+0.00025902316883737197j))",5.421010862427522e-20,8.32494521620646e-05,"(np.complex128(0.0018462050162406593+0.00025902316883737197j), np.complex128(0.0019294544684027239+0.000259023168837372j))",-5.421010862427522e-20,-8.32494521620646e-05
256.2,"(np.complex128(0.001926150944743258+0.0002586918552751603j), np.complex128(0.0018424811608840556+0.00025869185527516023j))",5.421010862427522e-20,8.366978385920235e-05,"(np.complex128(0.0018424811608840556+0.00025869185527516023j), np.complex128(0.001926150944743258+0.0002586918552751603j))",-5.421010862427522e-20,-8.366978385920235e-05
256.3,"(np.complex128(0.0019228474210837918+0.0002583605417129485j), np.complex128(0.0018387573055274518+0.0002583605417129485j))",0.0,8.40901155563401e-05,"(np.complex128(0.0018387573055274518+0.0002583605417129485j), np.complex128(0.0019228474210837918+0.0002583605417129485j))",0.0,-8.40901155563401e-05
256.4,"(np.complex128(0.001919543897424324+0.0002580292281507366j), np.complex128(0.001835033450170846+0.00025802922815073654j))",5.421010862427522e-20,8.451044725347806e-05,"(np.complex128(0.001835033450170846+0.00025802922815073654j), np.complex128(0.001919543897424324+0.0002580292281507366j))",-5.421010862427522e-20,-8.451044725347806e-05
256.5,"(np.complex128(0.0019162403737648561+0.00025769791458852463j), np.complex128(0.00183130959481424+0.0002576979145885246j))",5.421010862427522e-20,8.493077895061624e-05,"(np.complex128(0.00183130959481424+0.0002576979145885246j), np.complex128(0.0019162403737648561+0.00025769791458852463j))",-5.421010862427522e-20,-8.493077895061624e-05
256.6,"(np.complex128(0.00191293685010539+0.0002573666010263129j), np.complex128(0.0018275857394576362+0.00025736660102631284j))",5.421010862427522e-20,8.535111064775377e-05,"(np.complex128(0.0018275857394576362+0.00025736660102631284j), np.complex128(0.00191293685010539+0.0002573666010263129j))",-5.421010862427522e-20,-8.535111064775377e-05
256.7,"(np.complex128(0.0019096333264459239+0.0002570352874641011j), np.complex128(0.0018238618841010324+0.0002570352874641011j))",0.0,8.577144234489151e-05,"(np.complex128(0.0018238618841010324+0.0002570352874641011j), np.complex128(0.0019096333264459239+0.0002570352874641011j))",0.0,-8.577144234489151e-05
256.8,"(np.complex128(0.001906329802786456+0.0002567039739018892j), np.complex128(0.0018201380287444266+0.00025670397390188915j))",5.421010862427522e-20,8.619177404202948e-05,"(np.complex128(0.0018201380287444266+0.00025670397390188915j), np.complex128(0.001906329802786456+0.0002567039739018892j))",-5.421010862427522e-20,-8.619177404202948e-05
256.9,"(np.complex128(0.0019030262791269882+0.00025637266033967724j), np.complex128(0.0018164141733878205+0.00025637266033967724j))",0.0,8.661210573916766e-05,"(np.complex128(0.0018164141733878205+0.00025637266033967724j), np.complex128(0.0019030262791269882+0.00025637266033967724j))",0.0,-8.661210573916766e-05
257.0,"(np.complex128(0.001899722755467522+0.0002560413467774655j), np.complex128(0.0018126903180312169+0.00025604134677746545j))",5.421010862427522e-20,8.703243743630519e-05,"(np.complex128(0.0018126903180312169+0.00025604134677746545j), np.complex128(0.001899722755467522+0.0002560413467774655j))",-5.421010862427522e-20,-8.703243743630519e-05
257.1,"(np.complex128(0.0018964192318080561+0.0002557100332152537j), np.complex128(0.001808966462674613+0.0002557100332152537j))",0.0,8.745276913344315e-05,"(np.complex128(0.001808966462674613+0.0002557100332152537j), np.complex128(0.0018964192318080561+0.0002557100332152537j))",0.0,-8.745276913344315e-05
257.2,"(np.complex128(0.0018931157081485883+0.0002553787196530418j), np.complex128(0.0018052426073180072+0.0002553787196530418j))",0.0,8.787310083058111e-05,"(np.complex128(0.0018052426073180072+0.0002553787196530418j), np.complex128(0.0018931157081485883+0.0002553787196530418j))",0.0,-8.787310083058111e-05
257.3,"(np.complex128(0.0018898121844891202+0.00025504740609082985j), np.complex128(0.0018015187519614011+0.00025504740609082985j))",0.0,8.829343252771907e-05,"(np.complex128(0.0018015187519614011+0.00025504740609082985j), np.complex128(0.0018898121844891202+0.00025504740609082985j))",0.0,-8.829343252771907e-05
257.4,"(np.complex128(0.0018865086608296543+0.0002547160925286181j), np.complex128(0.0017977948966047975+0.0002547160925286181j))",0.0,8.871376422485682e-05,"(np.complex128(0.0017977948966047975+0.0002547160925286181j), np.complex128(0.0018865086608296543+0.0002547160925286181j))",0.0,-8.871376422485682e-05
257.5,"(np.complex128(0.0018832051371701882+0.0002543847789664064j), np.complex128(0.0017940710412481936+0.0002543847789664063j))",5.421010862427522e-20,8.913409592199457e-05,"(np.complex128(0.0017940710412481936+0.0002543847789664063j), np.complex128(0.0018832051371701882+0.0002543847789664064j))",-5.421010862427522e-20,-8.913409592199457e-05
257.6,"(np.complex128(0.0018799016135107203+0.0002540534654041944j), np.complex128(0.0017903471858915878+0.0002540534654041944j))",0.0,8.955442761913253e-05,"(np.complex128(0.0017903471858915878+0.0002540534654041944j), np.complex128(0.0018799016135107203+0.0002540534654041944j))",0.0,-8.955442761913253e-05
257.7,"(np.complex128(0.0018765798185203042+0.0002537244505297795j), np.complex128(0.0017865946256730239+0.0002537239156737578j))",5.348560216684312e-10,8.998519284728035e-05,"(np.complex128(0.0017865946256730239+0.0002537239156737578j), np.complex128(0.0018765798185203042+0.0002537244505297795j))",-5.348560216684312e-10,-8.998519284728035e-05
257.8,"(np.complex128(0.0018732060205110368+0.0002534019780744794j), np.complex128(0.0017827603670011961+0.00025339938607991274j))",2.591994566680453e-09,9.044565350984062e-05,"(np.complex128(0.0017827603670011961+0.00025339938607991274j), np.complex128(0.0018732060205110368+0.0002534019780744794j))",-2.591994566680453e-09,-9.044565350984062e-05
257.9,"(np.complex128(0.0018698322225017693+0.00025307950561917936j), np.complex128(0.0017789261083293682+0.0002530748564860677j))",4.649133111638264e-09,9.090611417240111e-05,"(np.complex128(0.0017789261083293684+0.0002530748564860677j), np.complex128(0.0018698322225017693+0.00025307950561917936j))",-4.649133111638264e-09,-9.090611417240089e-05
258.0,"(np.complex128(0.0018664584244925+0.0002527570331638791j), np.complex128(0.0017750918496575382+0.0002527503268922225j))",6.706271656596076e-09,9.136657483496181e-05,"(np.complex128(0.0017750918496575382+0.0002527503268922225j), np.complex128(0.0018664584244925+0.0002527570331638791j))",-6.706271656596076e-09,-9.136657483496181e-05
258.1,"(np.complex128(0.0018630846264832306+0.00025243456070857885j), np.complex128(0.0017712575909857081+0.00025242579729837725j))",8.763410201608098e-09,9.182703549752251e-05,"(np.complex128(0.0017712575909857083+0.00025242579729837725j), np.complex128(0.0018630846264832306+0.00025243456070857885j))",-8.763410201608098e-09,-9.18270354975223e-05
258.2,"(np.complex128(0.0018597108284739631+0.0002521120882532788j), np.complex128(0.0017674233323138804+0.0002521012677045322j))",1.0820548746565909e-08,9.228749616008278e-05,"(np.complex128(0.0017674233323138804+0.0002521012677045322j), np.complex128(0.0018597108284739631+0.0002521120882532788j))",-1.0820548746565909e-08,-9.228749616008278e-05
258.3,"(np.complex128(0.0018563370304646957+0.00025178961579797873j), np.complex128(0.0017635890736420524+0.00025177673811068715j))",1.287768729157793e-08,9.274795682264326e-05,"(np.complex128(0.0017635890736420526+0.00025177673811068715j), np.complex128(0.0018563370304646957+0.00025178961579797873j))",-1.287768729157793e-08,-9.274795682264305e-05
258.4,"(np.complex128(0.0018529632324554262+0.00025146714334267845j), np.complex128(0.0017597548149702225+0.0002514522085168419j))",1.4934825836535742e-08,9.320841748520375e-05,"(np.complex128(0.0017597548149702227+0.0002514522085168419j), np.complex128(0.0018529632324554262+0.00025146714334267845j))",-1.4934825836535742e-08,-9.320841748520353e-05
258.5,"(np.complex128(0.0018495894344461568+0.0002511446708873782j), np.complex128(0.0017559205562983923+0.00025112767892299673j))",1.6991964381493554e-08,9.366887814776445e-05,"(np.complex128(0.0017559205562983926+0.00025112767892299673j), np.complex128(0.0018495894344461568+0.0002511446708873782j))",-1.6991964381493554e-08,-9.366887814776423e-05
258.6,"(np.complex128(0.0018462156364368893+0.00025082219843207816j), np.complex128(0.0017520862976265646+0.00025080314932915166j))",1.9049102926505575e-08,9.412933881032472e-05,"(np.complex128(0.0017520862976265648+0.00025080314932915166j), np.complex128(0.0018462156364368893+0.00025082219843207816j))",-1.9049102926505575e-08,-9.41293388103245e-05
258.7,"(np.complex128(0.0018428418384276218+0.0002504997259767781j), np.complex128(0.0017482520389547366+0.00025047861973530663j))",2.1106241471463387e-08,9.45897994728852e-05,"(np.complex128(0.0017482520389547368+0.00025047861973530663j), np.complex128(0.0018428418384276218+0.0002504997259767781j))",-2.1106241471463387e-08,-9.458979947288499e-05
